narration,normalized_text,vendor,transaction_type,debit,credit,gst_score,tds_score,classification_mode,predicted_category,actual_category,confidence,review_recommended,reason
CMS_IFT CARD PMT MID-90096587 SETDT-31032026IDFC,,CMS_,CMS,,334.62,1,0,HEURISTIC,POSSIBLE_GST,,LOW,True,Possible business/merchant payment inferred | Possible business expense inferred from card payment | Matched personal/transfer exclusion keyword | Incoming credit penalty applied to GST | Incoming credit penalty applied to TDS | GST soft gst=1
UPI/DR/749440144834/SUMATHI /SBIN/sumathi/Payment,,,UPI_DEBIT,4500.0,,3,0,HEURISTIC,POSSIBLE_GST,,MEDIUM,False,Possible merchant/business payment inferred from UPI narration | GST medium gst=3
UPI/DR/266638931498/Jayalaks/YESB/paytm.s/Payment,,PAYTM,UPI_DEBIT,50.0,,13,0,HEURISTIC,POSSIBLE_GST,,HIGH,False,Vendor intelligence 'paytm' → POSSIBLE_GST (MEDIUM) | Vendor intelligence applied MEDIUM GST bias | Possible business/merchant payment inferred | Possible merchant/business payment inferred from UPI narration | GST high gst=13
"NEFT/AXISCN1299453578/RAZORPAY PAYMENTS PVT LTD PAYMENT AGGREGATOR ESCROW ACCOUNT./UTIB0001506/MUNICIPAL NO.22 LASKAR HOSUR ROAD.AFTER FARUMMALLOPPOSITE TATA DOCOMO,BANGALORE,KARNATAKA,INDIA 560030",,RAZORPAY,NEFT,,2265.47,5,0,HEURISTIC,POSSIBLE_GST,,MEDIUM,False,Vendor intelligence 'razorpay' → POSSIBLE_GST (MEDIUM) | Vendor intelligence applied MEDIUM GST bias | Possible business/merchant payment inferred | Company suffix penalty applied | Incoming credit penalty applied to GST | Incoming credit penalty applied to TDS | GST medium gst=5
UPI/DR/360673995630/Jk Studi/UTIB/gpay-11/Payment,,GPAY,UPI_DEBIT,150.0,,9,0,HEURISTIC,POSSIBLE_GST,,HIGH,False,Possible business/merchant payment inferred | Possible merchant/business payment inferred from UPI narration | GST high gst=9
UPI/DR/097774840041/PhonePe/YESB/SV25121/Payment,,PHONEPE,UPI_DEBIT,2951.0,,9,0,HEURISTIC,POSSIBLE_GST,,HIGH,False,Possible business/merchant payment inferred | Possible merchant/business payment inferred from UPI narration | GST high gst=9
UPI/DR/695505111105/SWIGGY/ICIC/upiswig/Payment,,SWIGGY,UPI_DEBIT,158.0,,9,0,HEURISTIC,POSSIBLE_GST,,HIGH,False,Vendor intelligence 'swiggy' → NORMAL (MEDIUM) | Possible business/merchant payment inferred | Possible merchant/business payment inferred from UPI narration | GST high gst=9
UPI/DR/608880317907/Amazon I/RATN/amazon@/You are,,AMAZON,UPI_DEBIT,6068.0,,9,2,HEURISTIC,POSSIBLE_GST,,HIGH,False,Vendor intelligence 'amazon' → NORMAL (MEDIUM) | Transaction occurred at quarter-end | Possible business/merchant payment inferred | Possible merchant/business payment inferred from UPI narration | GST high gst=9
